"","Johnston Terrace","Chestnut","Barton Creek","Southeast","RMMA","West Congress","Dawson","Mckinney","East Cesar Chavez","Holly","Coronado Hills","West Gate","East Congress","Galindo","Hancock","MLK","North Shoal Creek","Central East Austin","North University","Highland","Crestview","Rosewood","Upper Boggy Creek","Govalle","Zilker","Old West Austin","University Hills","North Loop","Pecan Springs Springdale","Wooten","Sweet Briar","Windsor Hills","Windsor Road","Rosedale","Hyde Park","Bouldin","Downtown","Heritage Hills","North Lamar","South River City","South Manchaca","South Lamar","Brentwood","MLK 183","Allandale","Barton Hills","St. Johns","Georgian Acres","Parker Lane","Wells Branch","Montopolis","Garrison Park","East Oak Hill","Riverside","West Oak Hill","Pleasant Valley","West University","Windsor Park","Franklin Park","North Austin","date"
"43",0,0,8,0,0,26,66,0,0,112,0,0,31,50,62,0,7,0,0,32,8,92,48,42,178,94,3,36,0,7,0,3,0,34,52,0,98,0,0,0,41,101,37,0,0,137,16,4,44,0,15,0,0,0,0,23,0,48,0,0,1:76
"44",0,0,9,0,0,26,66,0,0,114,0,0,32,51,64,0,7,0,0,33,8,92,50,43,181,97,3,37,0,7,0,3,0,34,54,0,105,0,0,0,42,104,39,0,0,148,17,4,44,0,15,0,0,0,0,25,0,49,0,0,1:76
"45",0,0,9,0,0,26,66,0,0,115,0,0,32,51,65,0,8,0,0,34,8,92,50,43,182,98,3,37,0,7,0,3,0,34,58,0,105,0,0,0,43,108,44,0,0,151,17,4,44,0,15,0,0,0,0,27,0,49,0,0,1:76
"46",0,0,10,0,0,26,67,0,0,116,0,0,32,54,66,0,8,0,0,34,10,94,51,43,186,99,3,39,0,8,0,3,0,36,58,0,106,0,0,0,44,115,45,0,0,153,17,4,45,0,15,0,0,0,0,27,0,50,0,0,1:76
"47",0,0,10,0,0,27,68,0,0,116,0,0,33,56,68,0,8,0,0,34,10,96,52,45,188,100,3,40,0,8,0,3,0,38,59,0,110,0,0,0,45,117,45,0,0,156,17,4,49,0,15,0,0,0,0,27,0,50,0,0,1:76
"48",0,0,10,0,0,29,72,0,0,121,0,0,33,58,72,0,8,0,0,38,12,103,52,45,207,108,3,41,0,8,0,3,0,42,62,0,111,0,0,0,51,133,48,0,0,169,17,4,54,0,17,0,0,0,0,28,0,52,0,0,1:76
"49",0,0,10,0,0,30,75,0,0,122,0,0,36,59,72,0,8,0,0,41,13,104,52,47,210,108,3,44,0,8,0,3,0,46,64,0,114,0,0,0,52,143,49,0,0,173,18,4,57,0,17,0,0,0,0,29,0,54,0,0,1:76
"50",0,0,11,0,0,30,75,0,0,123,0,0,36,59,72,0,8,0,0,41,13,106,53,48,211,108,3,47,0,8,0,3,0,46,64,0,114,0,0,0,55,147,49,0,0,176,18,4,57,0,18,0,0,0,0,30,0,54,0,0,1:76
"51",0,0,11,0,0,31,75,0,0,123,0,0,36,59,72,0,8,0,0,42,14,106,53,49,216,111,3,48,0,8,0,3,0,46,64,0,115,0,0,0,55,151,49,0,0,180,18,4,57,0,19,0,0,0,0,32,0,54,0,0,1:76
"52",0,0,11,0,0,32,78,0,0,123,0,0,37,59,75,0,8,0,0,42,14,107,56,50,220,114,3,49,0,9,0,3,0,46,65,0,116,0,0,0,58,155,52,0,0,185,18,4,60,0,20,0,0,0,0,35,0,58,0,0,1:76
